date,Kejadian,hujan_0,hujan_300,hujan_600,hujan_900,hujan_1200,hujan_1500,hujan_2100,min_hujan,max_hujan,avg_hujan
2020-01-01,Tidak Banjir,1.6,0.0,1.5,0.0,0.2,0.2,2.1,0.0,2.1,0.8
2020-01-02,Tidak Banjir,0.4,0.0,0.0,0.0,0.1,7.8,2.4,0.0,7.8,1.5285714285714287
2020-01-03,Banjir,0.0,0.0,0.0,0.2,0.1,8.1,1.3,0.0,8.1,1.385714285714286
2020-01-04,Tidak Banjir,0.2,1.1,0.0,0.0,0.0,0.7,1.3,0.0,1.3,0.4714285714285714
2020-01-05,Banjir,0.2,0.5,0.0,0.0,1.1,3.0,0.0,0.0,3.0,0.6857142857142857
2020-01-06,Tidak Banjir,2.1,0.0,0.0,0.0,0.0,1.1,1.8,0.0,2.1,0.7142857142857143
2020-01-07,Tidak Banjir,10.0,0.4,0.0,0.0,0.4,2.4,1.9,0.0,10.0,2.1571428571428575
2020-01-08,Banjir,0.0,0.0,0.0,0.0,1.2,1.6,2.2,0.0,2.2,0.7142857142857143
2020-01-09,Tidak Banjir,0.2,0.9,0.2,0.2,0.0,1.4,2.9,0.0,2.9,0.8285714285714285
2020-01-10,Tidak Banjir,0.3,0.9,0.3,0.3,0.3,2.7,0.8,0.3,2.7,0.8
2020-01-11,Tidak Banjir,0.2,1.1,0.7,0.3,0.3,4.3,0.1,0.1,4.3,0.9999999999999999
2020-01-12,Tidak Banjir,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.0,0.3,0.07142857142857142
2020-01-13,Tidak Banjir,0.3,0.1,0.0,0.0,0.0,17.7,2.2,0.0,17.7,2.8999999999999995
2020-01-14,Tidak Banjir,2.1,0.0,0.0,0.0,0.2,1.6,2.3,0.0,2.3,0.8857142857142858
2020-01-15,Tidak Banjir,0.4,0.0,0.0,0.0,0.0,0.0,2.2,0.0,2.2,0.37142857142857144
2020-01-16,Tidak Banjir,0.2,0.5,0.0,0.1,0.0,1.7,2.1,0.0,2.1,0.6571428571428571
2020-01-17,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,0.21428571428571427
2020-01-18,Tidak Banjir,1.8,1.3,0.0,0.0,0.0,0.2,0.1,0.0,1.8,0.48571428571428577
2020-01-19,Tidak Banjir,0.0,0.3,1.4,0.0,0.1,4.6,2.6,0.0,4.6,1.2857142857142858
2020-01-20,Tidak Banjir,3.1,1.9,1.5,0.0,0.2,1.6,3.1,0.0,3.1,1.6285714285714286
2020-01-21,Tidak Banjir,4.0,2.7,1.8,0.0,0.2,0.0,2.5,0.0,4.0,1.5999999999999999
2020-01-22,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,1.9,0.2714285714285714
2020-01-23,Tidak Banjir,0.2,0.0,0.0,0.0,0.1,1.1,5.0,0.0,5.0,0.9142857142857144
2020-01-24,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,1.4,4.8,0.0,4.8,0.8857142857142856
2020-01-25,Tidak Banjir,2.8,0.5,0.5,0.6,0.4,2.5,3.2,0.4,3.2,1.5
2020-01-26,Tidak Banjir,1.2,0.0,0.0,0.1,0.1,1.6,2.2,0.0,2.2,0.7428571428571429
2020-01-27,Tidak Banjir,0.0,0.1,0.2,0.0,1.8,4.8,2.1,0.0,4.8,1.2857142857142858
2020-01-28,Tidak Banjir,1.7,0.0,0.4,0.0,1.7,10.6,0.0,0.0,10.6,2.057142857142857
2020-01-29,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,14.2,3.3,0.0,14.2,2.5
2020-01-30,Banjir,4.6,1.7,0.0,0.0,0.1,0.1,0.1,0.0,4.6,0.9428571428571427
2020-01-31,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.3,4.0,0.0,4.0,0.6142857142857142
2020-02-01,Tidak Banjir,1.9,0.0,0.0,0.0,0.0,0.0,2.5,0.0,2.5,0.6285714285714287
2020-02-02,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,Tidak Banjir,0.0,0.1,0.0,0.0,0.1,0.3,0.0,0.0,0.3,0.07142857142857142
2020-02-04,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,Tidak Banjir,0.1,0.6,0.0,0.0,0.2,9.0,3.1,0.0,9.0,1.8571428571428572
2020-02-06,Tidak Banjir,2.2,1.5,0.6,0.0,0.0,2.1,3.0,0.0,3.0,1.342857142857143
2020-02-07,Banjir,2.4,0.0,0.0,0.0,3.8,4.8,1.7,0.0,4.8,1.8142857142857143
2020-02-08,Tidak Banjir,0.9,0.5,0.1,0.0,0.0,0.0,0.1,0.0,0.9,0.2285714285714286
2020-02-09,Tidak Banjir,0.0,0.0,0.1,0.3,0.6,16.1,1.4,0.0,16.1,2.642857142857143
2020-02-10,Tidak Banjir,0.0,0.0,0.0,0.1,0.1,0.7,1.5,0.0,1.5,0.34285714285714286
2020-02-11,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,5.6,0.7999999999999999
2020-02-12,Tidak Banjir,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.3,0.05714285714285715
2020-02-13,Tidak Banjir,4.7,1.8,0.0,0.0,0.1,1.4,5.4,0.0,5.4,1.9142857142857144
2020-02-14,Tidak Banjir,0.0,0.0,0.0,0.0,0.1,0.5,2.5,0.0,2.5,0.4428571428571429
2020-02-15,Tidak Banjir,1.4,0.4,0.0,0.0,0.1,11.9,4.0,0.0,11.9,2.542857142857143
2020-02-16,Tidak Banjir,0.0,0.0,0.2,0.3,3.8,1.7,2.8,0.0,3.8,1.2571428571428573
2020-02-17,Banjir,0.6,0.5,1.3,0.5,1.8,0.2,0.2,0.2,1.8,0.7285714285714286
2020-02-18,Tidak Banjir,0.0,0.0,0.1,1.4,0.6,10.6,2.4,0.0,10.6,2.157142857142857
2020-02-19,Tidak Banjir,0.0,0.3,0.7,0.0,0.0,1.6,2.9,0.0,2.9,0.7857142857142857
2020-02-20,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,Tidak Banjir,0.0,0.0,0.0,0.0,0.2,0.1,2.3,0.0,2.3,0.3714285714285714
2020-02-26,Tidak Banjir,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.3
2020-02-27,Tidak Banjir,2.4,1.1,0.0,0.0,0.0,0.0,1.2,0.0,2.4,0.6714285714285715
2020-02-28,Tidak Banjir,1.6,0.0,0.0,0.0,0.2,7.7,1.4,0.0,7.7,1.5571428571428572
2020-02-29,Tidak Banjir,0.2,0.0,0.0,0.0,0.0,1.5,2.7,0.0,2.7,0.6285714285714287
2020-03-01,Banjir,1.7,0.0,0.0,0.0,0.2,7.7,4.0,0.0,7.7,1.9428571428571428
2020-03-02,Tidak Banjir,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5714285714285714
2020-03-03,Tidak Banjir,0.0,0.0,1.0,0.3,0.2,0.1,0.0,0.0,1.0,0.2285714285714286
2020-03-04,Tidak Banjir,0.0,0.2,0.3,0.4,0.2,1.7,2.6,0.0,2.6,0.7714285714285715
2020-03-05,Banjir,2.0,1.2,0.3,0.6,0.0,0.0,0.0,0.0,2.0,0.5857142857142856
2020-03-06,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Tidak Banjir,0.1,0.6,0.0,0.0,0.0,0.0,1.1,0.0,1.1,0.2571428571428572
2020-03-08,Banjir,0.0,0.0,0.0,0.0,0.3,2.2,1.4,0.0,2.2,0.5571428571428572
2020-03-09,Tidak Banjir,0.1,0.2,0.0,0.2,0.3,0.0,0.0,0.0,0.3,0.1142857142857143
2020-03-10,Banjir,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.04285714285714286
2020-03-11,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.5,0.1142857142857143
2020-03-12,Tidak Banjir,0.8,0.3,0.9,0.0,0.0,7.8,2.2,0.0,7.8,1.7142857142857142
2020-03-13,Banjir,0.0,0.2,0.0,0.0,0.2,1.3,1.9,0.0,1.9,0.5142857142857143
2020-03-14,Tidak Banjir,0.0,0.0,0.0,0.1,1.6,1.1,2.2,0.0,2.2,0.7142857142857143
2020-03-15,Tidak Banjir,1.6,0.0,0.0,0.0,0.2,2.6,0.0,0.0,2.6,0.6285714285714287
2020-03-16,Tidak Banjir,0.6,0.0,0.0,0.0,2.5,0.1,1.6,0.0,2.5,0.6857142857142858
2020-03-17,Tidak Banjir,0.3,0.0,0.0,0.2,0.2,1.4,2.0,0.0,2.0,0.5857142857142856
2020-03-18,Tidak Banjir,2.0,0.0,0.0,0.0,0.0,0.4,3.0,0.0,3.0,0.7714285714285715
2020-03-19,Tidak Banjir,1.2,2.5,0.7,1.2,1.0,3.3,3.2,0.7,3.3,1.8714285714285717
2020-03-20,Tidak Banjir,2.1,1.3,0.1,0.3,2.5,17.6,2.7,0.1,17.6,3.8000000000000003
2020-03-21,Tidak Banjir,1.9,0.0,0.0,0.2,0.0,0.2,0.3,0.0,1.9,0.37142857142857144
2020-03-22,Banjir,3.0,0.6,0.1,0.5,1.5,0.4,0.4,0.1,3.0,0.9285714285714287
2020-03-23,Tidak Banjir,1.1,3.5,0.2,0.2,0.2,1.2,0.4,0.2,3.5,0.9714285714285715
2020-03-24,Tidak Banjir,0.0,0.2,0.0,0.0,0.1,3.2,0.9,0.0,3.2,0.6285714285714287
2020-03-25,Tidak Banjir,3.4,2.0,0.5,0.0,0.1,0.1,0.0,0.0,3.4,0.8714285714285713
2020-03-26,Tidak Banjir,0.3,0.0,0.0,0.0,0.0,1.6,0.0,0.0,1.6,0.27142857142857146
2020-03-27,Tidak Banjir,3.5,1.7,0.9,0.5,1.7,4.8,1.7,0.5,4.8,2.1142857142857143
2020-03-28,Tidak Banjir,0.0,0.6,0.0,0.2,0.4,7.8,2.6,0.0,7.8,1.657142857142857
2020-03-29,Banjir,0.0,0.0,0.0,0.3,1.4,5.1,1.1,0.0,5.1,1.1285714285714286
2020-03-30,Tidak Banjir,0.0,0.0,0.0,0.0,0.4,0.5,1.5,0.0,1.5,0.34285714285714286
2020-03-31,Tidak Banjir,0.4,3.1,0.9,0.4,0.1,0.1,1.7,0.1,3.1,0.9571428571428572
2020-04-01,Tidak Banjir,1.4,0.3,0.6,0.7,0.4,0.0,0.0,0.0,1.4,0.4857142857142857
2020-04-02,Tidak Banjir,0.0,0.0,0.0,0.2,9.7,0.0,0.3,0.0,9.7,1.457142857142857
2020-04-03,Banjir,0.0,0.4,0.0,0.0,2.0,6.5,2.7,0.0,6.5,1.6571428571428573
2020-04-04,Banjir,1.1,3.6,0.0,0.0,0.2,8.4,1.3,0.0,8.4,2.085714285714286
2020-04-05,Banjir,0.3,0.0,0.0,0.1,0.4,1.3,1.6,0.0,1.6,0.5285714285714286
2020-04-06,Tidak Banjir,1.5,0.4,0.0,0.3,0.4,7.8,1.7,0.0,7.8,1.7285714285714282
2020-04-07,Tidak Banjir,0.3,4.0,1.3,0.6,0.5,0.1,0.0,0.0,4.0,0.9714285714285713
2020-04-08,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,0.21428571428571427
2020-04-09,Banjir,0.0,0.0,0.2,0.1,7.3,1.0,2.1,0.0,7.3,1.5285714285714285
2020-04-10,Tidak Banjir,0.0,0.0,0.0,0.0,0.1,1.3,0.0,0.0,1.3,0.2
2020-04-11,Tidak Banjir,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.05714285714285715
2020-04-12,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.05714285714285715
2020-04-14,Tidak Banjir,0.0,0.0,0.3,0.2,0.3,3.4,0.1,0.0,3.4,0.6142857142857142
2020-04-15,Tidak Banjir,2.0,0.7,0.2,0.0,3.2,0.0,0.6,0.0,3.2,0.9571428571428572
2020-04-16,Tidak Banjir,1.9,0.0,0.0,0.0,0.2,7.7,1.7,0.0,7.7,1.6428571428571428
2020-04-17,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,1.4,2.3,0.0,2.3,0.5285714285714286
2020-04-18,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,3.8,2.7,0.0,3.8,0.9285714285714286
2020-04-19,Tidak Banjir,2.5,0.1,0.0,0.0,0.3,0.0,0.0,0.0,2.5,0.41428571428571426
2020-04-20,Tidak Banjir,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.2,0.042857142857142864
2020-04-21,Tidak Banjir,0.0,0.0,0.0,0.2,0.0,1.4,0.0,0.0,1.4,0.22857142857142856
2020-04-22,Tidak Banjir,0.0,0.0,0.0,0.2,0.0,0.1,1.6,0.0,1.6,0.27142857142857146
2020-04-23,Tidak Banjir,0.3,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.5,0.14285714285714285
2020-04-24,Tidak Banjir,0.0,0.2,0.3,0.3,0.0,0.2,0.1,0.0,0.3,0.15714285714285717
2020-04-25,Tidak Banjir,0.0,0.0,0.0,0.1,0.2,5.0,0.0,0.0,5.0,0.7571428571428571
2020-04-26,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.05714285714285715
2020-04-27,Tidak Banjir,0.0,1.7,3.5,2.3,0.6,4.1,0.3,0.0,4.1,1.7857142857142858
2020-04-28,Banjir,0.0,0.2,0.6,1.5,3.1,1.9,1.1,0.0,3.1,1.2
2020-04-29,Tidak Banjir,0.6,0.6,0.1,0.0,0.0,0.0,0.4,0.0,0.6,0.24285714285714288
2020-04-30,Tidak Banjir,0.0,0.2,0.0,0.2,0.3,1.2,1.3,0.0,1.3,0.4571428571428572
2020-05-01,Tidak Banjir,0.0,0.5,0.0,0.7,4.2,0.2,2.3,0.0,4.2,1.1285714285714286
2020-05-02,Tidak Banjir,0.8,4.2,3.4,3.6,5.7,1.8,0.8,0.8,5.7,2.9
2020-05-03,Tidak Banjir,0.0,0.0,0.2,2.3,0.5,3.4,2.0,0.0,3.4,1.2
2020-05-04,Tidak Banjir,1.1,2.2,0.7,0.3,0.2,2.2,1.5,0.2,2.2,1.1714285714285713
2020-05-05,Tidak Banjir,0.0,0.0,0.0,0.0,0.1,1.1,0.0,0.0,1.1,0.17142857142857146
2020-05-06,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.04285714285714286
2020-05-07,Tidak Banjir,0.2,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.3,0.08571428571428573
2020-05-08,Tidak Banjir,0.0,0.0,0.0,0.0,3.8,0.2,0.0,0.0,3.8,0.5714285714285714
2020-05-09,Banjir,0.0,0.3,0.2,4.0,3.5,0.4,0.2,0.0,4.0,1.2285714285714284
2020-05-10,Tidak Banjir,0.0,0.0,0.0,0.1,0.2,1.5,1.5,0.0,1.5,0.4714285714285714
2020-05-11,Tidak Banjir,0.0,0.0,0.0,0.0,0.1,0.2,1.7,0.0,1.7,0.2857142857142857
2020-05-12,Tidak Banjir,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.028571428571428574
2020-05-13,Tidak Banjir,0.3,0.1,0.0,0.0,4.5,0.3,0.0,0.0,4.5,0.7428571428571429
2020-05-14,Tidak Banjir,0.3,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.11428571428571428
2020-05-15,Tidak Banjir,0.0,0.0,0.0,0.3,0.4,0.0,0.0,0.0,0.4,0.09999999999999999
2020-05-16,Tidak Banjir,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.05714285714285715
2020-05-17,Tidak Banjir,0.0,0.0,0.0,0.1,0.1,0.0,1.4,0.0,1.4,0.22857142857142856
2020-05-18,Tidak Banjir,0.0,2.1,1.6,0.8,0.4,8.0,2.0,0.0,8.0,2.1285714285714286
2020-05-19,Tidak Banjir,1.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.22857142857142856
2020-05-20,Tidak Banjir,0.0,0.0,0.0,0.2,0.6,1.8,4.4,0.0,4.4,1.0
2020-05-21,Tidak Banjir,1.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.3,0.2
2020-05-22,Tidak Banjir,0.0,0.0,0.1,0.2,0.0,1.0,3.7,0.0,3.7,0.7142857142857143
2020-05-23,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-24,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,3.3,0.4714285714285714
2020-05-25,Banjir,0.0,0.0,0.0,0.0,0.0,3.4,1.2,0.0,3.4,0.6571428571428571
2020-05-26,Tidak Banjir,0.0,0.0,0.0,0.2,0.0,0.1,1.6,0.0,1.6,0.27142857142857146
2020-05-27,Tidak Banjir,0.0,0.0,0.5,1.4,0.2,3.4,0.6,0.0,3.4,0.8714285714285713
2020-05-28,Tidak Banjir,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.2,0.07142857142857142
2020-05-29,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.04285714285714286
2020-05-30,Tidak Banjir,0.0,0.0,0.1,0.0,2.2,2.0,2.0,0.0,2.2,0.9000000000000001
2020-05-31,Tidak Banjir,0.0,0.0,0.0,0.2,1.8,0.6,3.9,0.0,3.9,0.9285714285714286
2020-06-01,Tidak Banjir,0.2,0.0,0.2,0.3,0.4,0.3,2.2,0.0,2.2,0.5142857142857143
2020-06-02,Tidak Banjir,0.0,0.0,0.0,1.0,2.1,0.5,0.0,0.0,2.1,0.5142857142857143
2020-06-03,Banjir,0.0,0.0,0.0,0.3,0.0,1.4,1.3,0.0,1.4,0.42857142857142855
2020-06-04,Tidak Banjir,0.1,0.2,0.0,0.3,0.2,0.1,0.0,0.0,0.3,0.1285714285714286
2020-06-05,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.3,0.07142857142857142
2020-06-06,Tidak Banjir,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.4,0.08571428571428573
2020-06-07,Tidak Banjir,0.0,0.0,0.0,0.0,1.7,1.9,2.2,0.0,2.2,0.8285714285714285
2020-06-08,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.6,1.5,0.0,1.5,0.3
2020-06-09,Tidak Banjir,0.0,1.0,0.4,0.0,0.0,1.3,0.0,0.0,1.3,0.38571428571428573
2020-06-10,Tidak Banjir,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.3,0.05714285714285715
2020-06-11,Tidak Banjir,0.1,0.0,0.0,0.0,1.1,1.2,1.4,0.0,1.4,0.5428571428571429
2020-06-12,Tidak Banjir,0.0,0.3,0.0,0.0,0.0,0.0,1.2,0.0,1.2,0.21428571428571427
2020-06-13,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,1.4,0.19999999999999998
2020-06-14,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-15,Tidak Banjir,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.2,0.042857142857142864
2020-06-16,Tidak Banjir,0.0,0.4,0.0,0.1,0.6,0.0,0.0,0.0,0.6,0.15714285714285717
2020-06-17,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.028571428571428574
2020-06-18,Tidak Banjir,0.0,0.0,0.0,0.0,0.2,0.8,0.4,0.0,0.8,0.19999999999999998
2020-06-19,Tidak Banjir,0.9,0.1,0.4,0.0,0.0,0.7,2.0,0.0,2.0,0.5857142857142856
2020-06-20,Tidak Banjir,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.3,0.08571428571428572
2020-06-21,Tidak Banjir,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.2,0.042857142857142864
2020-06-22,Tidak Banjir,0.6,0.8,0.2,1.2,2.1,0.5,0.9,0.2,2.1,0.9000000000000001
2020-06-23,Tidak Banjir,0.9,1.8,0.2,0.4,0.6,0.2,0.4,0.2,1.8,0.642857142857143
2020-06-24,Tidak Banjir,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.04285714285714286
2020-06-25,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-26,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-27,Tidak Banjir,0.2,0.0,0.0,0.4,0.0,0.7,0.0,0.0,0.7,0.18571428571428572
2020-06-28,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-29,Tidak Banjir,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.028571428571428574
2020-06-30,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.1,1.8,0.0,1.8,0.27142857142857146
2020-07-02,Tidak Banjir,0.0,0.4,0.4,0.5,2.6,1.6,0.9,0.0,2.6,0.9142857142857144
2020-07-03,Tidak Banjir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-04,Tidak Banjir,0.0,0.0,0.0,0.0,1.9,1.4,0.0,0.0,1.9,0.4714285714285714
2020-07-05,Tidak Banjir,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.05714285714285715
2020-07-06,Tidak Banjir,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.028571428571428574
